TweetId,Label,cleaned_text
304271250237304833,Politics,seckerry the value of the statedept and usaid is measured not in dollars but in terms of our deepest american values
304834304222064640,Politics,rraina i fear so
303568995880144898,Sports,watch video highlights of the wwc final between australia and west indies at 
304366580664528896,Sports,rt chelscanlan at nitro circus at albertpark  theymakeitlooksoeasy ausgrandprix chadwickmodels cantwaitforausgp
296770931098009601,Sports,cricketfox always a good thing thanks for the feedback 
306713195832307712,Politics,dr rajan fiscal consolidation will create more space for monetary policies to act
306100962337112064,Politics,fact more than  defense employees will be forced to take unpaid leave if congress doesnt stop impending spending cuts jobsnotcuts
305951758759366657,Sports,st test over   runs  wkt m wade  m clarke  aus  indvaus  bcci
304482567158104065,Sports,some of africas top teams will try and take a step closer to the wt this week check out qualifying fixtures 
303806584964935680,Sports,can you beat the tweet of rorygribbell and zebras stopped play for the most unusual reason for a club cricket match being halted
306682472169623552,Sports,queensland finished their innings well thanks to a great knock from jason floros  qld   ryobiodc
306094964914401280,Politics,khannisara thanks wont respond to their rubbish
294606381783322625,Politics,president obama nominates mary jo white to run the sec  president obama announced today that he wants mary jo w 
284243333201686528,Politics, opening statement by pm abe at the press conference on december  n 
254347919229063168,Politics,barackobama has campaigned for years on his commitment to the military but his record doesnut match the rhetoric 
303458616621535235,Sports,rt aegonclassic gb fed cup team give their support for help harry help others harrymoseley  wearing their special hhho bracelet htt 
304642350859304960,Sports,themanojprasad yes i am
306322535920857088,Politics,railway budget for the first time  ongoing projects identified as priority projects with the committed funding
305087150821625856,Sports,buy your ausgp general admission tickets before march  for early bird prices f cantwaitforausgp 
300155542826008577,Sports,gbfedcup robson back on court following treatment for a left shoulder injury
305615385623945216,Sports,one for dhonius critics he has more runs in fewer tests as india captain than ganguly ht raghavitis  indvaus
304270365704744960,Sports,sadly sharmila tagore could not come as she was ailing
266017766702723072,Politics,indiana senate race  richard mourdock speaking now live newsource ch 
303453980573437952,Sports,watson and cowan shine but australia will be concerned with their showing against india a 
266080403209740288,Politics,president obama says hell work with mitt romney in the coming weeks to get things done in dc potu
305957332192468992,Sports,out wade is bowled harbhajan from around the wicket has wade sweeping missing and losing his stumps out for  australia  indvaus
306270595836956672,Sports,st test  n lyon to s tendulkar  runs  indvaus  bcci
291518381717344256,Sports,sorry wright this is nailbiting
278568880476143617,Politics,david plouffe your story bouncing around the white house  senior advisor to the president david plouffe just s 
303799049318957057,Sports,good morning everyone its a lovely day down in cobham as the squad returns to training after a day off cfc
295816549883858944,Politics,indians celebrate republic day all over the worldn
305672149245497345,Sports,first corner of the game goes to man city and it is cleared  mins played cfc
306832539874623488,Sports,exaston villa amp whafc forward john carew will not be signing for inter milan due to his current athletic condition bbcfootball
304267284246065152,Politics,seckerry no investment a nation can make returns a benefit as sizable as an investment in foreign policy
305695872103112705,Sports,dynamic dhoni takes australia apart 
304157630681735168,Politics,video in english press conference by chief cabinet secretary suga february  pmn
304683937534455810,Sports,oscar with a challenge and sparta win the first freekick of the game cfc
300699571611369472,Sports,rt piersnewbery gbs annekeothavong talks watson amp robson injury problems her fedcup debut in  and what a home tie would 
304472546093449216,Sports,mclarens looking fast this season with perez quickest on day  of testing in barcelona 
298457528747061248,Politics,photos pm hosts summit at chequers attended by president karzai of afghanistan and president zardari of pakistan 
271594100619350016,Politics,vladimir putin has chaired a meeting of the agency for strategic initiatives supervisory board 
266045769855926274,Politics,paul ryan wins reelection as wisconsin representative u po
298738290717245440,Politics,video in english press conference by chief cabinet secretary sugafebruary  pmn
305304475906752513,Sports,young guns pujara and kohli also very impressive more so the latter for the manner in which he messed up ozs field placing to restrict him
269751597230329856,Politics,joint news conference with vladimir putin and angela merkel  
291510654538502144,Sports, after four dl target after five overs is  bbl bigfinals
302322382390059008,Politics,rt govindethiraj govt building internet infra to encourage content creation not to regulate it milinddeora tells me in excl intvw h 
297229537987657728,Politics,rt pmoindia pm releases the commemorative coins for silver jubilee of mata vaishno devi shrine board with jampk governor and cm htt 
277091499831853056,Politics,dmitry medvedev on kashincase evidence is still being collected but the case is not closed and will be fully investigated kshn
306322955879714816,Sports,tara moore on her win in surprise ive had a really good week amp it was a great tournament i had loads of fun hopefully more to come
299135257817522177,Sports,rt bfc club statement  
306463731074859008,Sports,rt liverugby if found guilty points deduction the likely punishment lwelsh second bottom of pship  points ahead of sale with  
268885075209383936,Politics,an overview of the japanphilippines summit meeting on november th 
306496142206722049,Sports,kevin mirallass goal for everton is efcs th facup goal during the current campaign and all have been scored by different players
306719563507175424,Sports, overs left  runs to win and  wickets in hand for the bushrangers mckay  and sheridan  with mcdermott to bowl ryobiodc
291433771549470720,Sports,brad hodge greg shipperd and shane warne check out the wicket before tonights big semi final bigfinals bbl 
306730672402362368,Politics,tata among top  global brands  business standard 
298854314523389952,Sports,mrmlees hi matt  unfortunately the app for mobile surveys is not compatible with that phone yet
306002742839750656,Sports,are you a level  tennis coach places are available on the level  coaching course in lancashire starting  april u 
278703567974576128,Politics,the pms instruction after north koreas launch of missile which it calls a satellite after the security counciln
296980992495869952,Politics,photo david cameron meets a young libyan activist in martyrs square tripoli  pminafrica
296825189348544512,Sports,rt craigtiley a different week australianopen site looking different as we take everything down we miss it  
299923604336943104,Sports,mohanstatsman tks
282797601772945408,Politics,alleppey lighthouse 
303477029179908096,Politics,ep this week budget economy horse meat number of meps carbon credits article 
279312178039881729,Politics,madiba is being cared for at a pretoria hospital issued by the presidencyza 
303893452209389569,Sports,possible fa cup quarterfinal date set  cfc
305479693312880640,Sports,bupass langer rapt with warriors fightback at the waca read why 
304078187711836162,Politics,you can follow live updates photos and blogs straight from the bcim car rally on our tumblr blog 
305407173247266816,Sports,wake forest just dropped  miami this years ncaa tournament bracket is going to be the hardest multiple choice test ever
301552723923443713,Politics,photoset social state of the union stats according to google the top four rising search terms during this 
294304304070811648,Politics,video in english press conference by chief cabinet secretary suga january  am
298864592199753730,Sports,also on this week are two npowerchamp managers  theposhdotcomus darren ferguson amp bfcofficialus david flitcroft podcast
261953376303071232,Politics,i know it because i have seen it good democrats can come together with good republicans to solve big problems what we need is leadership
299814831714885632,Politics,israels former chief negotiator with damascus on why the israeli air force struck syria and whats next 
304448136741548032,Politics,video in english press conference by chief cabinet secretary suga february  am
302704108584972288,Sports,daily tickets for the aegon international are on sale now get yours at  or by calling   
303741385025150976,Sports,rt starsportsindia cricketwallah hi ayaz were active on twitter now have some exciting quizzes and activities lined up pls let ur 
304286462357155841,Sports,halftime in the nextgenseries  fcbarcelona  chelseafc cfc
280545396147748864,Politics,a message from former president nelsonmandela on announcing  the international year of older persons 
306075937320099840,Politics,lifeofpi was undoubtedly the best movie of the year cant wait to watch djangounchained though
300214177585324033,Politics,inaugurated a selfdefense workshop for female students organized by colaba congress amp mickeymehta 
305287398558949376,Sports,goal  fulham a wellworked goal from the hosts after an enterprising run from roberts is finished off by williams cfcu
304878116701077504,Politics,video in english press conference by chief cabinet secretary suga february  pm 
299606852755410945,Politics,things we learnt in the february plenary overview of all the highlights 
304885960183799809,Sports,if you missed it watch roscohutchins on bbcbreakfast talking about aegonchampionships rallyagainstcancer  
251059284031442944,Politics,barackobamaus policies toward china are hurting small businesses we canut afford another  years like the last 
303531551881302016,Sports,thought mumbais peak hour traffic was bad but delhis is the pits have been on the road for  hrs from okhla to janakpuri
304670942976675840,Politics,rt tsonenshine congrats appsafrica winners slicebiz proworkapp ffenebiz challenge developing solutions for youth unemployment h 
302145145611104256,Sports,sorry thats asad shafiq not malik
306406987292348416,Sports,rt charrisespn in this years nfl combine review youll find youtube links giving highlights for most players i discuss  
306359424744845312,Politics,watch epenvironment workshop on diagnostic medical devices and the ethics of dna testing starts at pm cet 
304323615803973633,Politics,join empowering lgbt youth amp combating homophobia in sports qampa with angelahucles feb at estutc  conx
302015693191254017,Politics,valentine if you fell in love abroad youreurope offers info on marriage amp registered partnerships in eu  eyc
305967108087504896,Sports,fiddyracer what team are you racing for 
305671720700870656,Politics,between terror errors in multiple cases amp political bickering are we apathetic in our response to terrorism we the people at 
